,method,finetune,dataset,alpha,n_epochs,lr,beta,regular_weight,K,Results/test_acc,Results/test_acc_bottom_decile,Results/test_acc_std,Results/test_loss,Results/test_loss_bottom_decile,Results/test_loss_std,Results/val_acc,Results_unseen/test_acc,Results_unseen/test_acc_bottom_decile,Results_unseen/test_acc_std,Results_unseen/test_loss,Results_unseen/test_loss_bottom_decile,Results_unseen/test_loss_std,Results_weighted/test_acc,Results_weighted/test_loss,Results_weighted_unseen/test_acc,Results_weighted_unseen/test_loss,sys_avg/total_model_size,sys_avg/total_upload_bytes,sys_avg/local_convergence_round,sys_avg/global_convergence_time_minutes,sys_avg/fl_end_time_minutes,sys_avg/total_flops,sys_avg/global_convergence_round,sys_avg/total_download_bytes,sys_avg/local_convergence_time_minutes
296,fedbn,0,cifar--alpha5.0,5.0,1,0.01,,,,0.7064131839676213,0.6470588235294118,0.05091683376196353,0.8906509678344964,0.7104490314211164,0.1439214216049472,0.7055259064263154,0.42725589278424875,0.336734693877551,0.05952486333454504,1.9737860425089693,1.9031649398803712,0.05616826339642346,0.7067337948395217,0.8897077445523981,0.4282238442822384,1.972496850763214,2.04M,1.21M,11.0990099009901,24.201838741089116,24.203510196864688,873.52G,630.0,1.21M,0.555501
297,fedbn,0,cifar--alpha5.0,5.0,1,0.05,,,,0.7064131839676213,0.6470588235294118,0.05091683376196353,0.8906509678344964,0.7104490314211164,0.1439214216049472,0.7055259064263154,0.42725589278424875,0.336734693877551,0.05952486333454504,1.9737860425089693,1.9031649398803712,0.05616826339642346,0.7067337948395217,0.8897077445523981,0.4282238442822384,1.972496850763214,2.04M,1.21M,11.0990099009901,24.58101828366337,24.58271019521452,873.52G,630.0,1.21M,0.5575609219471946
298,fedbn,0,cifar--alpha5.0,5.0,1,0.005,,,,0.7064131839676213,0.6470588235294118,0.05091683376196353,0.8906509678344964,0.7104490314211164,0.1439214216049472,0.7055259064263154,0.42725589278424875,0.336734693877551,0.05952486333454504,1.9737860425089693,1.9031649398803712,0.05616826339642346,0.7067337948395217,0.8897077445523981,0.4282238442822384,1.972496850763214,2.04M,1.21M,11.0990099009901,26.232871039273927,26.234817374092408,873.52G,630.0,1.21M,0.6236429339933994
299,fedbn,0,cifar--alpha5.0,5.0,1,0.5,,,,0.7064131839676213,0.6470588235294118,0.05091683376196353,0.8906509678344964,0.7104490314211164,0.1439214216049472,0.7055259064263154,0.42725589278424875,0.336734693877551,0.05952486333454504,1.9737860425089693,1.9031649398803712,0.05616826339642346,0.7067337948395217,0.8897077445523981,0.4282238442822384,1.972496850763214,2.04M,1.21M,11.0990099009901,23.14952687013201,23.153168275082507,873.52G,630.0,1.21M,0.5337715808580856
300,fedbn,1,cifar--alpha5.0,5.0,3,0.1,,,,0.6707289120917033,0.5980392156862745,0.053033514415001315,1.00683535147614,0.8183768776665746,0.1489715282773054,0.6732530210019894,0.6630985032416478,0.6145833333333334,0.05192833128735286,0.9888492856288944,0.7835923555385635,0.2076344974504396,0.6713656387665198,1.0054043850234942,0.6642335766423357,0.9877078959831648,2.04M,1.16M,11.0990099009901,27.67641192953795,27.681093765676568,864.57G,600.0,1.16M,0.5543497833333334
301,fedbn,1,cifar--alpha5.0,5.0,1,0.1,,,,0.6707289120917033,0.5980392156862745,0.053033514415001315,1.00683535147614,0.8183768776665746,0.1489715282773054,0.6732530210019894,0.6630985032416478,0.6145833333333334,0.05192833128735286,0.9888492856288944,0.7835923555385635,0.2076344974504396,0.6713656387665198,1.0054043850234942,0.6642335766423357,0.9877078959831648,2.04M,1.16M,11.0990099009901,24.31214904653465,24.314697665511552,864.57G,600.0,1.16M,0.5051397737623763
302,fedbn,1,cifar--alpha5.0,5.0,3,0.005,,,,0.6707289120917033,0.5980392156862745,0.053033514415001315,1.00683535147614,0.8183768776665746,0.1489715282773054,0.6732530210019894,0.6630985032416478,0.6145833333333334,0.05192833128735286,0.9888492856288944,0.7835923555385635,0.2076344974504396,0.6713656387665198,1.0054043850234942,0.6642335766423357,0.9877078959831648,2.04M,1.16M,11.0990099009901,27.379101222277225,27.38182608960396,864.57G,600.0,1.16M,0.4911601917491749
303,fedbn,1,cifar--alpha5.0,5.0,3,0.5,,,,0.6707289120917033,0.5980392156862745,0.053033514415001315,1.00683535147614,0.8183768776665746,0.1489715282773054,0.6732530210019894,0.6630985032416478,0.6145833333333334,0.05192833128735286,0.9888492856288944,0.7835923555385635,0.2076344974504396,0.6713656387665198,1.0054043850234942,0.6642335766423357,0.9877078959831648,2.04M,1.16M,11.0990099009901,25.09569326765676,25.098112791419148,864.57G,600.0,1.16M,0.5381187965346534
304,fedbn,1,cifar--alpha5.0,5.0,3,0.05,,,,0.6707289120917033,0.5980392156862745,0.053033514415001315,1.00683535147614,0.8183768776665746,0.1489715282773054,0.6732530210019894,0.6630985032416478,0.6145833333333334,0.05192833128735286,0.9888492856288944,0.7835923555385635,0.2076344974504396,0.6713656387665198,1.0054043850234942,0.6642335766423357,0.9877078959831648,2.04M,1.16M,11.0990099009901,25.402637681683167,25.404167180693076,864.57G,600.0,1.16M,0.47430131336633663
305,fedbn,1,cifar--alpha5.0,5.0,3,0.01,,,,0.6707289120917033,0.5980392156862745,0.053033514415001315,1.00683535147614,0.8183768776665746,0.1489715282773054,0.6732530210019894,0.6630985032416478,0.6145833333333334,0.05192833128735286,0.9888492856288944,0.7835923555385635,0.2076344974504396,0.6713656387665198,1.0054043850234942,0.6642335766423357,0.9877078959831648,2.04M,1.16M,11.0990099009901,25.908716370957094,25.91063293564356,864.57G,600.0,1.16M,0.5205162998349835
